amount,creditor,due_date,description,status,paid_date
50000000,Bank Mandiri,11/25/2025,Pembelian alat produksi,unpaid,
25000000,PT Supplier Sawit,11/10/2025,Pembelian bahan baku,unpaid,
15000000,Koperasi Karyawan,11/05/2025,Pinjaman karyawan,paid,10/30/2025
30000000,CV Transport Berkah,11/15/2025,Biaya transport TBS bulan ini,unpaid,
20000000,Bpk. Ali Karyawan,11/20/2025,Hutang perjalanan dinas,unpaid,
35000000,Bank BRI,12/01/2025,Pembelian mesin press,unpaid,
18000000,PT Pupuk Indonesia,11/30/2025,Pembelian pupuk kimia,unpaid,
12000000,CV Alat Berat,11/28/2025,Sewa alat berat,unpaid,
28000000,PT Transportindo,12/05/2025,Biaya angkut TBS semester I,unpaid,
22000000,Bpk. Budi Karyawan,11/18/2025,Hutang medis,unpaid,
40000000,Bank BNI,12/10/2025,Pembelian genset cadangan,unpaid,
16000000,PT Pestisida Nasional,11/22/2025,Pembelian pestisida,unpaid,
24000000,CV Logistik Sawit,12/15/2025,Biaya penyimpanan TBS,unpaid,
19000000,Bpk. Cinta Karyawan,11/27/2025,Hutang pendidikan,unpaid,
32000000,PT Maintenance Pro,12/20/2025,Perawatan fasilitas,unpaid,
14000000,PT Bibit Unggul,11/12/2025,Pembelian bibit sawit,unpaid,
26000000,CV Service Alat,12/25/2025,Service rutin alat,unpaid,
17000000,Bpk. Dodi Karyawan,11/08/2025,Hutang renovasi rumah,unpaid,
38000000,Bank Mandiri Syariah,12/30/2025,Pembelian boiler baru,unpaid,
21000000,PT Teknologi Sawit,11/14/2025,Lisensi software,unpaid,